Module,Theta_i,Theta_r,Phi_r,Angular_Deviation,L,a,b,Hue,Chroma,total_brdf,lobe_specular,lobe_forward_scatter,lobe_backscatter,lobe_residual
1,0,2.0,51.0,2.0,55.8587185311,1.19531633936,-2.64074905613,294.353548038,2.89867844518,0.244027671147,True,False,False,False
1,0,40.0,270.0,40.0,10.0883568487,11.0980680301,-12.725141907,311.092889278,16.8847964321,0.0182250576717,False,True,False,False
1,0,60.0,101.0,60.0,9.38030779023,11.357474167,-12.4570382734,312.356415728,16.8573432663,0.0170669549423,False,False,True,False
1,0,50.0,129.0,50.0,10.1315886757,11.7575830214,-13.1658417309,311.766031272,17.6516329836,0.0186854781968,False,False,True,False
1,0,70.0,116.0,70.0,9.31301121097,11.3736125247,-12.6241300689,312.017026511,16.9919899323,0.0170695458285,False,False,True,False
1,0,30.0,200.0,30.0,11.1758142105,11.2932848454,-13.4783982648,309.95897952,17.5842401708,0.0204690197289,False,True,False,False
1,0,30.0,120.0,30.0,11.1983694984,11.5732243383,-13.8185488431,309.946636199,18.0247555799,0.0208102343366,False,True,False,False
1,0,60.0,315.0,60.0,9.53439344254,11.4032451668,-12.6587430354,312.013149788,17.0375401854,0.0173829707362,False,False,True,False
1,0,70.0,180.0,70.0,9.70556368699,11.3939548614,-12.6420180362,312.02759736,17.0188961867,0.0177608715986,False,False,True,False
1,0,50.0,0.0,50.0,9.84940465122,11.3738506548,-12.767407021,311.696262049,17.0988643119,0.0180555850312,False,False,True,False
1,0,6.0,246.0,6.0,22.6286582308,7.18642562994,-11.0061757865,303.142320719,13.1446041697,0.0467135515131,True,False,False,False
1,0,70.0,0.0,70.0,9.99584613359,11.6540477142,-12.9434937049,311.999202139,17.4169703856,0.0183950344905,False,False,True,False
1,0,50.0,77.0,50.0,9.67415255921,11.2785869037,-12.6751044749,311.66339145,16.9665787946,0.0175831674254,False,False,True,False
1,0,80.0,230.0,80.0,9.63039961526,11.4087658604,-12.6568991134,312.031091733,17.0398660095,0.0175843694718,False,False,True,False
